Entering call(void cs6890.skillbuilder.EmergencyContact.setRelationship(String))

Exiting call(void cs6890.skillbuilder.EmergencyContact.setRelationship(String))

Entering call(void cs6890.skillbuilder.Person.addAddress(Address))

Exiting call(void cs6890.skillbuilder.Person.addAddress(Address))

Entering call(void cs6890.skillbuilder.Person.addName(Name))

Exiting call(void cs6890.skillbuilder.Person.addName(Name))

Entering call(void cs6890.skillbuilder.Person.addName(Name))

Exiting call(void cs6890.skillbuilder.Person.addName(Name))

Entering call(void cs6890.skillbuilder.Person.addName(Name))

Exiting call(void cs6890.skillbuilder.Person.addName(Name))

Entering call(void cs6890.skillbuilder.Person.addName(Name))

Exiting call(void cs6890.skillbuilder.Person.addName(Name))

Entering call(void cs6890.skillbuilder.Person.addName(Name))

Exiting call(void cs6890.skillbuilder.Person.addName(Name))

Entering call(void cs6890.skillbuilder.Person.addPhoneNumber(PhoneNumber))

Exiting call(void cs6890.skillbuilder.Person.addPhoneNumber(PhoneNumber))

Entering call(void cs6890.skillbuilder.Person.addAddress(Address))

Exiting call(void cs6890.skillbuilder.Person.addAddress(Address))

Entering call(void cs6890.skillbuilder.Person.addName(Name))

Exiting call(void cs6890.skillbuilder.Person.addName(Name))

Entering call(void cs6890.skillbuilder.Person.addPhoneNumber(PhoneNumber))

Exiting call(void cs6890.skillbuilder.Person.addPhoneNumber(PhoneNumber))

Entering call(void cs6890.skillbuilder.Person.addAddress(Address))

Exiting call(void cs6890.skillbuilder.Person.addAddress(Address))

Entering call(void cs6890.skillbuilder.Person.addName(Name))

Exiting call(void cs6890.skillbuilder.Person.addName(Name))

Entering call(void cs6890.skillbuilder.Person.addPhoneNumber(PhoneNumber))

Exiting call(void cs6890.skillbuilder.Person.addPhoneNumber(PhoneNumber))

Entering call(void cs6890.skillbuilder.Physician.addPatient(Patient))

Exiting call(void cs6890.skillbuilder.Physician.addPatient(Patient))

Entering call(void cs6890.skillbuilder.Patient.addPhysician(Physician))

Exiting call(void cs6890.skillbuilder.Patient.addPhysician(Physician))

Entering call(void cs6890.skillbuilder.Patient.addEmergencyContact(Person, String))

	Entering call(void cs6890.skillbuilder.EmergencyContact.setRelationship(String))

	Exiting call(void cs6890.skillbuilder.EmergencyContact.setRelationship(String))

Exiting call(void cs6890.skillbuilder.Patient.addEmergencyContact(Person, String))

Entering call(void cs6890.skillbuilder.Patient.addEmergencyContact(Person, String))

	Entering call(void cs6890.skillbuilder.EmergencyContact.setRelationship(String))

	Exiting call(void cs6890.skillbuilder.EmergencyContact.setRelationship(String))

Exiting call(void cs6890.skillbuilder.Patient.addEmergencyContact(Person, String))

Entering call(void cs6890.skillbuilder.Patient.removePhysician(Physician))

Exiting call(void cs6890.skillbuilder.Patient.removePhysician(Physician))

Entering call(void cs6890.skillbuilder.Physician.removePatient(Patient))

Exiting call(void cs6890.skillbuilder.Physician.removePatient(Patient))

Entering call(void cs6890.skillbuilder.Patient.addDiagnosis(Diagnosis))

Exiting call(void cs6890.skillbuilder.Patient.addDiagnosis(Diagnosis))

Entering call(void cs6890.skillbuilder.Patient.addDiagnosis(Diagnosis))

Exiting call(void cs6890.skillbuilder.Patient.addDiagnosis(Diagnosis))

Entering call(void cs6890.skillbuilder.Patient.addDiagnosis(Diagnosis))

Exiting call(void cs6890.skillbuilder.Patient.addDiagnosis(Diagnosis))

Entering call(void cs6890.skillbuilder.Patient.addDiagnosis(Diagnosis))

Exiting call(void cs6890.skillbuilder.Patient.addDiagnosis(Diagnosis))

Entering call(ArrayList cs6890.skillbuilder.Patient.getDiagnosis())

Exiting call(ArrayList cs6890.skillbuilder.Patient.getDiagnosis())

Entering call(ArrayList cs6890.skillbuilder.Patient.getDiagnosis())

Exiting call(ArrayList cs6890.skillbuilder.Patient.getDiagnosis())

Entering call(ArrayList cs6890.skillbuilder.Patient.getDiagnosis())

Exiting call(ArrayList cs6890.skillbuilder.Patient.getDiagnosis())

Entering call(ArrayList cs6890.skillbuilder.Person.getSortedNames())

Exiting call(ArrayList cs6890.skillbuilder.Person.getSortedNames())

